"","all.ResponseID","all.wc","all.polarity","all.pos.words","all.neg.words","all.text.var","group.ResponseID","group.total.sentences","group.total.words","group.ave.polarity","group.sd.polarity","group.stan.mean.polarity"
"27","R_w6lqiJUWhhPdXuV",11,0,"-","-","more availability/access when trying to open on Microsoft WORD & EXCELL","R_0e538jbNyGGEHXX",1,6,0,NA,NA
"28","R_1FPQSgnP6x6TQ7V",0,NA,"-","-","","R_0e6e3MGpivgHX6F",1,18,0.424264068711929,NA,NA
"29","R_2YX51jcMcEQgch3",2,0,"-","-","Lower price","R_0ebYLSWTZYfwkbD",1,23,-0.208514414057075,NA,NA
"30","R_27pt7IHAPADqOl1",0,NA,"-","-","","R_0eobYGUrNQs8rFT",1,1,1,NA,NA
"31","R_1rvslCDm6Cw98UH",36,0,"work","problems","It allows me to create budgets at work, at home--create lists. Solve problems, analyze data, create pivots, write professional documents, etc. Office 365 is truly amazing--all information is at my finger tips at all times.","R_0fAsuWmwiXHrsRj",1,23,0.208514414057075,NA,NA
"32","R_3eykxIuIR4jeQJt",0,NA,"-","-","","R_0fcJDnkrY0Isl6F",1,0,NA,NA,NA
"33","R_d4pEtqxdJFuTd5v",0,NA,"-","-","","R_0feKrnOj69N8g1z",1,0,NA,NA,NA
"34","R_12fKve4IowGMMyL",0,NA,"-","-","","R_0fEXuKJ8ZYeW9m9",1,7,0.377964473009227,NA,NA
"35","R_2z7kkNuu3KPIidS",7,0.377964473009227,"prefer","-","prefer singular applications independent of one another","R_0GIJ0ZvFVzj4PS1",1,0,NA,NA,NA
"36","R_2sTINXW2O2h312E",0,NA,"-","-","","R_0Gsa1PBIXFW6l7X",1,0,NA,NA,NA
"37","R_3e8npNmpC8kOzQ4",25,-0.2,"-","hard","I never used it. I had to delete it to open up room on my virtual hard drive so I could download updates for windows 10.","R_0H7gax2vZ9mWFTH",1,0,NA,NA,NA
"38","R_3qK8SVpHmGf6MLt",0,NA,"-","-","","R_0HfxNXj2rVpfKAF",1,6,0.408248290463863,NA,NA
"39","R_2AZjqwc4RB7juUS",0,NA,"-","-","","R_0Hv1KU4taitIUGl",1,0,NA,NA,NA
"40","R_3dWJWr0RLcWLqdn",12,-0.577350269189626,"-","c(""terrible"", ""terrible"")","Get the help desk out of India.  It is terrible ... just terrible.","R_0iAfQG9nZeJJPFL",1,0,NA,NA,NA
"41","R_20MrNnZAuDsNWOc",170,0.076696498884737,"c(""powerful"", ""support"", ""best"", ""great"", ""improve"", ""smoothly"")","c(""frustration"", ""problem"", ""incapable"", ""problem"", ""frustrating"")","For my independent business, I do a lot of writing and editing for clients, and I am dependent on using the ""tracked changes"" and ""comments"" features of the ""Review"" function in Microsoft Word (which is part of my Office 365 subscription.)  A major frustration I have is that Word slows to a crawl when I use these features, particularly on a longer document (20 pages or more), which I must do frequently.  This is especially a problem on my Surface, which appears almost incapable of running Office 365 when I am in tracked editing mode.  But it is also a problem when I am on my more powerful PC Desktop.  I have gone to Microsoft support community chat rooms and independent ones, and they all say the same thing - most machines can't handle the tracked editing mode on longer documents and the best solution is to simply turn it off.  Very, very frustrating.  It would be great if you could improve MS Word so that it will run smoothly on our machines.  Thanx.","R_0IcudCYzU9RwCoV",1,0,NA,NA,NA
"42","R_TpEz0j2qjXOJjwJ",0,NA,"-","-","","R_0iF29GeMKxdFjS9",1,40,-0.126491106406735,NA,NA
"43","R_28FI2VY0Fl2YAQX",0,NA,"-","-","","R_0ihwcwdLtu0YcsV",1,3,-0.577350269189626,NA,NA
"44","R_Tj5RG9bxKfziGEV",0,NA,"-","-","","R_0IimM96ckbk58D7",1,0,NA,NA,NA
"45","R_3iDtQi8zYBCMiog",0,NA,"-","-","","R_0ILMenZ2CBSsyGZ",1,11,-0.301511344577764,NA,NA
"46","R_1MWz46wt0bh4rrZ",72,0.235702260395516,"c(""like"", ""like"", ""nice"", ""awesome"", ""work"")","lose","I do not like how Microsoft has tried to be like Google Drive where things are ""autosaved.""  It's a nice feature, but I am used to Microsoft's awesome way of allowing me to work with a document and do a Save As not forget to make a copy and then lose the original document.  I am aware autosave can be turned off, but I think the default should be off, not on.","R_0INgQ4W7jra9CTL",1,3,0,NA,NA
"47","R_3qP6fYWvnOhCevJ",0,NA,"-","-","","R_0Iomgd4d0d3v9S1",1,5,0,NA,NA
"48","R_VRwDQ70ZcDm2nx7",34,0.342997170285018,"c(""improvements"", ""support"")","-","major improvements need to ios apps.  Need multiple document open support,  need multi-select in powerpoint,  outlook needs ability to sort by sender, subject, etc.  outlook needs more keyboard shortcuts for moving mail, etc.","R_0iTKZxveUqBrLi1",1,0,NA,NA,NA
"49","R_1KxPS99WtSVF1Xc",38,0.454219979166135,"c(""work"", ""work"")","-","being able to add it to more than one computer without having to pay more.  i have a work laptop and a home laptop, but my company doesn't provide office for my work laptop because i own it.","R_0iWjRv5hFc02Azn",1,0,NA,NA,NA
"50","R_1gtntckLJgsMdhP",4,0,"-","-","Dont have a clue","R_0IYLW85OfGgTAJj",1,14,0,NA,NA
"51","R_1MQK3hLkAkdch5z",3,1.15470053837925,"c(""better"", ""capability"")","-","better editing capability","R_0J7zhKqX6Op5wjf",1,0,NA,NA,NA
"52","R_3kogF3MatuQdk72",7,0.377964473009227,"fine","-","It is fine for what I use.","R_0jgRC54HebIPGN3",1,0,NA,NA,NA
"53","R_1jksCYIqQDjJVP4",14,-0.267261241912424,"happy","-","Not happy I have to renew every year in order to keep documentation updated.","R_0jisTzZSz8jGHct",1,3,0,NA,NA
"54","R_2VfoK40mtv4aMCo",10,0,"-","-","It is a little busy, it could be more simple","R_0jRmitYpv9DMl7X",1,0,NA,NA,NA
"55","R_3k7X3HbPpEnoxPm",42,0,"cheaper","frustrating","Make it cheaper!  I run a tiny business and to have to pay a yearly usage fee is frustrating. You should pay once to download the application onto a new computer, and that's it. You can function in business without Office programs!","R_0JU49wllttzjhq9",1,29,0.371390676354104,NA,NA
"56","R_1Ow5Ru0WeuXAKJ2",0,NA,"-","-","","R_0jukpz22G3N058t",1,4,0.5,NA,NA
"57","R_71lnFdYCqmr2bbr",0,NA,"-","-","","R_0k4INtEe506lw7D",1,14,-0.267261241912424,NA,NA
"58","R_31EHDGzPT515MsP",8,0,"-","-","Have not used it so I cant answer","R_0kdwEo6D5PDE3rH",1,0,NA,NA,NA
"59","R_2QXy695B83iz07D",0,NA,"-","-","","R_0koYmd83MgnMG9b",1,0,NA,NA,NA
"60","R_3fs0WYMEhdqiUpx",59,0.130188910980824,"willing","-","I don't know if one drive is considered a part of Office 365 or my MS account, however you need to fix it so we can keep one drive on a network share. \\also, a lot of us would be interested, even willing to pay a bit more monthly for a office 365 that included visio, project and other MS applications","R_0lftQ3judgjOadz",1,0,NA,NA,NA
"61","R_1JEYlVsn0XB0bu8",0,NA,"-","-","","R_0Mp0jmu4O3EGfEl",1,1,0,NA,NA
"62","R_poMim3BRmqluEPT",5,0,"-","-","I can't think of anything","R_0MSuGsl05Dr1znH",1,0,NA,NA,NA
"63","R_1GIdOlzm5TWKmIm",0,NA,"-","-","","R_0NhiXqCyYd9ggvv",1,0,NA,NA,NA
"64","R_22t29VySOeZZcyL",13,-0.499230176602706,"simpler","c(""illiterate"", ""overwhelming"")","simpler instructions for the more computer illiterate of us.  Recent update instructions overwhelming.","R_0NiErCgveb9PIJz",1,16,0.25,NA,NA
"65","R_1LBfUZ4qnvhjGkx",0,NA,"-","-","","R_0NUyaMwXSCGbDln",1,33,0.487417436675954,NA,NA
"66","R_9sEpgupGgjS8xoZ",0,NA,"-","-","","R_0NZfLKsPNbd4X5v",1,0,NA,NA,NA
"67","R_1rHB59lg07slgyr",79,-0.225017580185205,"-","c(""disaster"", ""damage"")","Word:\Color page background is grey, not blue. UGLY.\Can’t see cursor at edge of text with text boundary activated. \\Add automatic line numbering within 1st column of a table. Continuous or restart each section.\\Outlook:\contact sync has been a total disaster since you created the online Outlook. I have had to spend dozens of hours repairing the damage and it is still a mess.\\There's more but I'm not going to spend more time on this.","R_0oG5iQNH65znb5n",1,0,NA,NA,NA
"68","R_1gOeijLN7WpQPdn",37,0.164398987305357,"cheaper","-","Make it cheaper.  Make it so a Microsoft account isn't required to use everything.  Make it so you can look for a previous Microsoft account you may have created a forgotten about, e.g. by email, etc.","R_0OsgSs8EDicPrOx",1,0,NA,NA,NA
"69","R_2fAKU5J1Qi3DRUP",11,0.603022689155527,"c(""improvements"", ""better"")","-","I've never thought about Office 365 needing any improvements to be better.","R_0P96rCLlJLHYqpH",1,4,0,NA,NA
"70","R_2Ug4mRzCq9DFeo5",0,NA,"-","-","","R_0Ps27IOqkfoFm2B",1,41,0.124939009510885,NA,NA
"71","R_1eEqQpaqk6uV1PO",11,0.603022689155527,"c(""good"", ""right"")","-","I feel it is good the way it is right now.","R_0pSNC3lIMtCT1dv",1,13,0,NA,NA
"72","R_2lCKqDzRrsvE3IJ",12,0.288675134594813,"easier","-","Go back to the easier way of doing things    Too many details","R_0q4HRSMbNZPXy9z",1,27,0.192450089729875,NA,NA
"73","R_DqKLm850I0n2BdT",10,0.569209978830308,"improvement","-","I'm not certain of what needs improvement at this time.","R_0q8LjLEY7KiTwid",1,2,0,NA,NA
"74","R_eEvxpbIvuZvExvX",5,0,"-","-","make it -not subscription dependent","R_0qEyXkZiYsMicWB",1,4,1,NA,NA
"75","R_1goxzPmOwUZfy9k",0,NA,"-","-","","R_0qOPHyi9DQNiB69",1,11,0,NA,NA
"76","R_zck54QRWo002xIR",2,0,"-","-","N/A","R_0qTSk2oWyIyWefD",1,4,0.5,NA,NA
"77","R_2EhMY6daGBoP0dr",0,NA,"-","-","","R_0rIYxDGcPIGVaFz",1,0,NA,NA,NA
"78","R_1GwEdQv9MhRGemK",0,NA,"-","-","","R_0SqKzODivq9IsOl",1,0,NA,NA,NA
"79","R_T1JPihkwi5Ixmmd",33,-0.313339780720256,"leads","c(""warning"", ""issues"")","Updates sometimes occur without warning or notice, for example when you are about to shutdown the computer.  This leads to issues particularly when you are in a hurry to get to another destination.","R_0uHlAK2OIEqGvap",1,6,0,NA,NA
"80","R_3kO2F0050I1kBmB",0,NA,"-","-","","R_0UnJZEfZLHJuXjb",1,0,NA,NA,NA
"81","R_1H5pc5XTibAElAr",0,NA,"-","-","","R_0V7do1qA2PrFr1v",1,65,-0.248069469178417,NA,NA
"82","R_3CHEefLUeAmRU26",3,0,"-","-","More ipad centered","R_0vVmv0E4CioATsd",1,0,NA,NA,NA
"83","R_28GacNZybkpO657",9,0.666666666666667,"c(""work"", ""wonderful"")","-","I don't know how it seems to work wonderful","R_0wbyy0Ojlf6ZLy1",1,0,NA,NA,NA
"84","R_24qs1HqCTLQz4G7",0,NA,"-","-","","R_0xExDz2yoseSeyJ",1,3,0,NA,NA
"85","R_2QZ33uvzTLQB8xV",52,0.998460353205412,"c(""better"", ""glad"", ""happy"", ""faithful"", ""important"", ""like"")","-","I can not tell you how you can do your job better. But, I am sure glad that you do know what you are doing. It makes me a very happy and faithful customer. To me that is very important. I do not like changing companies. When the company knows it's job.","R_10AwNQr2GUd61T7",1,0,NA,NA,NA
"86","R_WCpdifs3nqpLaNP",18,0.235702260395516,"better","-","I have it but really don't use it so I don't know how you can make it better","R_10B4iwwyouAQ9CQ",1,0,NA,NA,NA
"87","R_Rlsc0sTJgCIh3ON",5,0,"-","-","No suggestions at this time.","R_10Bl4wwvmZ2Kq0d",1,0,NA,NA,NA
"88","R_2sZsFiXQ9p7hUSC",26,0.392232270276368,"c(""works"", ""fine"")","-","In office everything works fine, but the 365-product does not add value to the old office, if MS cannot keep OneDrive and Hotmail up to standards","R_10BNRGe35CbRJu5",1,1,0,NA,NA
"89","R_3CE09HNeSKWxJVm",2,0,"-","-","as is","R_10BqEQxOEtz62Yx",1,2,0,NA,NA
"90","R_3Huj74drqMrCp4k",41,0.312347523777212,"c(""easy"", ""better"")","-","make it easy to insert greek letters into one note. I use it all the time for my med school notes and it would be a 1000x better if i could just put alpha and beta in with a key stroke!","R_10C6wu68vvb7QL7",1,10,0.569209978830308,NA,NA
"91","R_2R2Gy427hQxgWo5",74,0,"c(""like"", ""better"", ""secure"", ""awesome"")","c(""unable"", ""vulnerable"")","I would like to have a better experience with Outlook. I am unable to use it, since every time I try to create my google account, I get a message from google saying that this is not a secure connection and leaves my google account vulnerable. Has this been fixed, or will this be fixed soon. Why doesn't Microsoft have just one awesome mail client rather than having Outlook and now the Windows 10 client?","R_10CooiQOdQilwCS",1,0,NA,NA,NA
"92","R_UftrwPWkgWmbGZr",8,0.636396103067893,"available","-","Make sure it's available on all mobile devices.","R_10DdoqLYw29FOzC",1,12,0.288675134594813,NA,NA
"93","R_6Ew7vbqhPfo1d17",4,0,"-","-","Don't change a thing","R_10Dyx0C4hAuhHg2",1,10,0,NA,NA
"94","R_1C7TQDF2sRyotQJ",7,0.377964473009227,"easy","-","Address labels that are easy to get","R_10GjEj4yqWJX1W7",1,0,NA,NA,NA
"95","R_2TZaqPYvGFv2wGx",0,NA,"-","-","","R_10I7WxBSXQwO3r1",1,41,0,NA,NA
"96","R_2b1NZDZOHO9xQBy",0,NA,"-","-","","R_10IaYuCxZ7eRnxE",1,0,NA,NA,NA
"97","R_111SapVpnbvvJc0",0,NA,"-","-","","R_10IcwyRF3QLKPct",1,0,NA,NA,NA
"98","R_3PZ87pxjR5zlQi4",0,NA,"-","-","","R_10IzQsTR5r6X9lF",1,0,NA,NA,NA
"99","R_2ZBUcDA9GcCyDo7",0,NA,"-","-","","R_10JIeoJnatwywTt",1,2,0,NA,NA
"100","R_2qfRgGcKwPYh6lk",1,1,"free","-","Free","R_10JkU93a8j5NQdz",1,6,0,NA,NA
"101","R_23deATel5LWwhE9",0,NA,"-","-","","R_10MZwb1RSrvALIF",1,16,0,NA,NA
"102","R_2wHO6sEFSRtzfrr",5,0.447213595499958,"faster","-","Make the software go faster","R_10N3YYWtV4Y37ex",1,0,NA,NA,NA
"103","R_3iK0JtwVcU69Skk",0,NA,"-","-","","R_10NvHGzOfuOgGyd",1,6,0,NA,NA
"104","R_3KuNrlbUc06SfQ9",0,NA,"-","-","","R_10O4QMd22mcZHgr",1,20,0,NA,NA
"105","R_zVkjGFxuLCfQfIt",6,1.22474487139159,"c(""free"", ""like"", ""excel"")","-","free tutorials for programs like excel","R_10OcB5hgUT8OLOt",1,0,NA,NA,NA
"106","R_2zCkjPZwd6b9OXM",38,-0.162221421130763,"c(""work"", ""support"")","problem","make outlook work - can not connect - doesn't recognize my email server . after it's recognized it for months. . spent hours with Frontier. . it's a Microsoft problem.  Haven't had the time to spend hours on the phone with tech support.","R_10OCRUCEi06cWCm",1,4,1,NA,NA
"107","R_22DChMkEEtET4rK",18,0,"-","-","You could do what you say. Three devices. I cannot install on iPads or iPhone. Only on MAC","R_10OhYRNMbLBbOWa",1,0,NA,NA,NA
"108","R_2DTe0huWutZNaz5",89,-0.0847998304005088,"c(""super"", ""work"")","c(""frustrating"", ""warning"")","I don't connect to the internet super often, and it is very frustrating to pull up a project to work on and all of a sudden I have to varify my subscription and I'm not anywhere near the computer lab. Maybe if there was some sort of warning or time frame. For example, instead of just popping up and telling me that I can't use any features until I verify my subscription, maybe say within a couple days or something. Then I could plan a time to verify it.","R_10oNEO6X49wFc47",1,5,0,NA,NA
"109","R_1rNPqPf843fZO9x",8,0,"-","-","Make it one purchase not having to renew","R_10oXNL2qSU5AoPr",1,25,-0.2,NA,NA
"110","R_1pA7O4d72idTgFA",7,0.377964473009227,"easier","-","Word could be made easier to learn.","R_10pgmFL1yDDPZOy",1,15,0,NA,NA
"111","R_3EtMi5DWG7vCynA",0,NA,"-","-","","R_10q4uVMHe9P8DBY",1,0,NA,NA,NA
"112","R_1o1gWvaUiOGIrho",3,0,"-","-","Too much money.","R_10qmrjwCBnW0UGi",1,0,NA,NA,NA
"113","R_1Kd9DEdd3wuQBjG",9,0.333333333333333,"like","-","I like it as is; I only use occasionally.","R_10TnjK6wWxmYAak",1,0,NA,NA,NA
"114","R_2pWy6psPVMrLsRS",50,0.113137084989848,"c(""fond"", ""like"", ""appreciate"")","revert","I mostly use Microsoft Word, and one thing I'm not too fond off is how sometimes my custom fonts revert back to something like ""Times New Roman"" and then I have to pick my font again.  If there was a way to keep this from happening, is greatly appreciate it.","R_10TpIdLzcAU2RTc",1,0,NA,NA,NA
"115","R_pofhT9M3jhmnEAN",3,0,"-","-","More training videos","R_10TtccEK6gzJ2nU",1,0,NA,NA,NA
"116","R_2fqdoEcUJNH0qJ4",0,NA,"-","-","","R_10TzWBfW1WwJbXg",1,0,NA,NA,NA
"117","R_2wHnPRHdLOJR0PZ",7,0,"-","-","You already have by offering monthly payments.","R_10UaIVJRTtgRlbn",1,0,NA,NA,NA
"118","R_UMS57md8dcJbpzX",3,0,"-","-","Meets my needs","R_10UTPGcd7Wukr2H",1,0,NA,NA,NA
"119","R_2OVnKUmPNQFcZTh",35,-0.169030850945703,"-","shame","Get rid of the ""over-controlling"" and ""resource hog"" One Drive! It aught to be an option not a program that takes over and cannot be shut off! Shame on whoever attached this to Office!","R_10uYXwTgL1UMM2c",1,4,0,NA,NA
"120","R_3OoayRW5eGE6BR3",15,0,"improving","lacking","I find the Onedrive windows implementation lacking in comparison to OSX. Improving that would help.","R_10V09l0LH1z5gvv",1,0,NA,NA,NA
"121","R_1OwbJ9ndTD8w1mr",6,0.408248290463863,"-","problems","I have no problems with it.","R_10v0G9gSaYqvbkU",1,5,0.804984471899924,NA,NA
"122","R_TkdIReFD4P5zo6B",0,NA,"-","-","","R_10v1HouiMHqvOJr",1,0,NA,NA,NA
"123","R_1dhjgpU4CYmzTq4",6,0.408248290463863,"easier","-","Easier way to log-in online.","R_10vgv8BRO4zBF2z",1,6,0.734846922834954,NA,NA
"124","R_VPAjNoDYO5sV7m9",3,0.577350269189626,"improvements","-","Continue making improvements","R_10VnskiiMmJOiYo",1,0,NA,NA,NA
"125","R_3pgodvHM7b1Vqyo",36,-0.166666666666667,"c(""works"", ""works"")","c(""bugs"", ""stuck"", ""interferes"")","Fix all the bugs related to tables.  They seem to act on their own. Words gets stuck and running on loops when one works with tables.\Tell us how the 365 interferes or works with the 2010 Suite.","R_10voX1cienmF1r5",1,0,NA,NA,NA
"126","R_3E9DUaSw4uk3gZf",0,NA,"-","-","","R_10VR2uH34cxBNk1",1,0,NA,NA,NA
"127","R_30f3nwc4UUOTAlk",28,0,"-","-","For what I use it for, I am not in needed of any changes or updates at this time. I do use it almost daily for various reason.","R_10w2ry7XIUjFl2E",1,0,NA,NA,NA
"128","R_2e8tsZhS5pc72r1",25,0.2,"like","-","By being able to use voice activation to open files, close files, and to operate the functions within files, like inserting files, pictures and objects.","R_10w3PovuaOCNGqX",1,3,0,NA,NA
"129","R_268Xhh2jV1aUx2l",17,0,"-","-","One note appears that its storage its storage is only web based. So it's  a non starter.","R_10xCB3JNuVOZdZN",1,19,0.688247201611685,NA,NA
"130","R_bDX6sNNHepBv4VX",0,NA,"-","-","","R_10ZpooWFf68PogU",1,0,NA,NA,NA
"131","R_1OOKoGbb1tZOJ3y",12,0.288675134594813,"available","-","Make it available by paid subscription for 3 years instead of just 1 yr.","R_10ZW9fptuNklIW7",1,0,NA,NA,NA
"132","R_1NxHkm3Yez5iFLY",9,0,"-","-","Cannot say as I do not use it much","R_110aw2JVJfrqo85",1,10,0.316227766016838,NA,NA
"133","R_4Vd4d1E30q0Gipb",16,0.25,"enthusiasm","-","Continue with the same energy and enthusiasm all day. Which is what I see most encounters.","R_110FaVlGiOrJbGJ",1,20,0.670820393249937,NA,NA
"134","R_sHlYsjzipdte6hr",0,NA,"-","-","","R_110gGaA5D6Jzm0a",1,5,0,NA,NA
"135","R_3HLF0u7ks5s1EtX",0,NA,"-","-","","R_110lSNPDg9FNUqy",1,0,NA,NA,NA
"136","R_NVzhT47VeV9xdE5",0,NA,"-","-","","R_110mAQ1O70mjYLX",1,0,NA,NA,NA
"137","R_2qlBdqo1auOMk76",35,0.169030850945703,"like","-","I would like to be able to type on two or more documents at one time (i.e. type on the main one, then have it automatically being typed and seen on the other ones).","R_1117rQeyVuvetJa",1,42,-0.123442679969674,NA,NA
"138","R_210dtK0VYCMt8cF",0,NA,"-","-","","R_111MfXJJeXKFg2p",1,8,0.636396103067893,NA,NA
"139","R_3qL6ZNbQMRXcgsn",0,NA,"-","-","","R_111n4lCkIcQgCKp",1,0,NA,NA,NA
"140","R_26nerx0evFOd1Zx",5,0,"-","-","Get rid of annual subscriptions.","R_111nfzN0UeKPypJ",1,0,NA,NA,NA
"141","R_afKWSxDg8rTv90l",0,NA,"-","-","","R_111SapVpnbvvJc0",1,0,NA,NA,NA
"142","R_1owpuIjVJEWeKk5",2,-0.707106781186547,"-","expensive","Too expensive","R_114lufLCIie9nH8",1,0,NA,NA,NA
"143","R_1j9UpcXdLeFpCgE",0,NA,"-","-","","R_115B1EWV1Dz11QD",1,2,0,NA,NA
"144","R_3kuKOSYLm0AkoJa",0,NA,"-","-","","R_115dnOnGC6w2OGQ",1,2,0,NA,NA
"145","R_UFNAag7OnDrVxBf",32,-0.530330085889911,"better","c(""stupid"", ""jerk"")","stop thinking millennials are the only computer users.  Stop making stupid ass changes that change the cosmetic aspect of the program ... it IS NOT better just because some jerk thinks it's ""prettier"".","R_115v4P6qfawz43G",1,3,0,NA,NA
"146","R_3oC3Z6YbCQtbTDK",0,NA,"-","-","","R_115zr1dbKaQb4Ow",1,19,0.275298880644674,NA,NA
"147","R_6yP2XKPUDm0Cb9D",0,NA,"-","-","","R_1161mrpezy1mo2f",1,7,0.680336051416609,NA,NA
"148","R_ptnQCRS1VRl54Jj",22,0,"stabilize","warning","Stabilize the entry location in Word. You never know where you will be typing because the entry location can change without warning.","R_116m1SSUsVrnreU",1,0,NA,NA,NA
"149","R_1EhuWmT02T1rOyt",0,NA,"-","-","","R_116XSbZcvjaGZ9m",1,0,NA,NA,NA
"150","R_3GrzJW9Tw7IDIlj",16,1.15,"c(""enjoy"", ""helped"", ""work"")","-","I enjoy Office 365 very much. It has helped with my school work and every day life.","R_1171ZvAxGgGOZRH",1,0,NA,NA,NA
"151","R_3n8KbQT1VpWy9hQ",0,NA,"-","-","","R_1175qhZZxYWM5SK",1,0,NA,NA,NA
"152","R_3iQ2INVgfbDNsiT",0,NA,"-","-","","R_117J4EGfu77NvxV",1,0,NA,NA,NA
"153","R_3fI65hxSvdrHSRJ",0,NA,"-","-","","R_11aKwmfys1FFLiM",1,0,NA,NA,NA
"154","R_6WnTmH4NVnk1hVD",15,0.516397779494322,"c(""right"", ""like"", ""worked"")","bugs","RIGHT NOW I HAVE SOME BUGS IN MINE.  I'D LIKE TO GET THEM WORKED OUT.","R_11aOyjIdidBEeBJ",1,0,NA,NA,NA
"155","R_1jjqXrNeTqesnUW",0,NA,"-","-","","R_11aqZ4Z1qkTLFsB",1,0,NA,NA,NA
"156","R_2zih4hQZSqUbDu7",6,1.22474487139159,"c(""works"", ""good"", ""right"")","-","Works good for me right now","R_11aW5tHSb7ABvUG",1,10,0.316227766016838,NA,NA
"157","R_pzcrY5bqFL5PBrr",0,NA,"-","-","","R_11bclkkqkKCWe2m",1,16,0,NA,NA
"158","R_2uERAl2qoxya7aA",3,0.577350269189626,"free","-","Make it free","R_11bVHZl4v3He8td",1,0,NA,NA,NA
"159","R_3HjmnOKJXBguhtM",22,-0.21320071635561,"-","screwed up","fix my account, still telling me to reactivate, my bill is current, cannot figure out why your system is still screwed up","R_11bvjzDQs6RFXJk",1,16,0,NA,NA
"160","R_rcqV9rDIuWnE0Zr",5,0.447213595499958,"great","-","Great as it is now.","R_11cIMTustIYnCpI",1,22,0.596962005795709,NA,NA
